"","datetime","city","country","shape"
"40269",0004-01-20,"naches","us","sphere"
"59309",NA,"nags head","us","sphere"
"67099",NA,"nags head","us","sphere"
"68448",0007-03-20,"nags head","us","sphere"
"40083",0004-01-19,"nampa","us","sphere"
"53083",0006-01-19,"nanaimo (canada)","ca","sphere"
"70873",0007-08-20,"nanaimo (canada)","ca","sphere"
"74921",NA,"nanaimo (canada)","ca","sphere"
"56257",NA,"napa","us","sphere"
"58395",NA,"napa","us","sphere"
"60607",0006-08-20,"napa","us","sphere"
"86929",NA,"napa","us","sphere"
"21483",NA,"napanee (canada)","ca","sphere"
"17016",0011-06-20,"naperville","us","sphere"
"40774",NA,"naperville","us","sphere"
"54796",NA,"naperville","us","sphere"
"71827",0008-11-20,"naperville","us","sphere"
"80627",0008-09-20,"naperville","us","sphere"
"12413",0001-01-20,"naples","us","sphere"
"38226",NA,"naples","us","sphere"
"58217",NA,"naples","us","sphere"
"74687",NA,"naples","us","sphere"
"49241",NA,"napoleonville","us","sphere"
"19762",0012-12-20,"nashua","us","sphere"
"42629",0004-02-20,"nashua","us","sphere"
"27971",0001-07-20,"nashville","us","sphere"
"28503",0002-10-20,"nashville","us","sphere"
"61949",0007-01-20,"nashville","us","sphere"
"62088",0007-12-20,"nashville","us","sphere"
"64487",NA,"nashville","us","sphere"
"65280",NA,"nashville","us","sphere"
"24376",0012-03-20,"natalia","us","sphere"
"44592",0004-04-19,"natick","us","sphere"
"44593",0004-04-19,"natick","us","sphere"
"44594",0004-04-19,"natick","us","sphere"
"36922",NA,"national city","us","sphere"
"49670",NA,"national city (indian lake)","us","sphere"
"50914",0005-05-20,"natrona heights","us","sphere"
"54714",NA,"navajo lake",NA,"sphere"
"2086",NA,"neah bay","us","sphere"
"77315",NA,"neah bay","us","sphere"
"77118",NA,"nelson ledges",NA,"sphere"
"41265",NA,"nelsonville","us","sphere"
"41266",NA,"nelsonville","us","sphere"
"60502",0006-08-20,"neosho","us","sphere"
"69966",0007-05-20,"neosho","us","sphere"
"42106",NA,"neptune",NA,"sphere"
"72363",0008-01-20,"netcong","us","sphere"
"73241",NA,"nevada city","us","sphere"
"5724",NA,"new bedford","us","sphere"
"63566",NA,"new brighton","us","sphere"
"46645",0005-12-20,"new britain","us","sphere"
"22942",NA,"new britghton",NA,"sphere"
"70736",0007-07-20,"new brunswick","us","sphere"
"73038",NA,"new castle",NA,"sphere"
"16321",NA,"new church","us","sphere"
"79248",0008-04-20,"new douglas","us","sphere"
"20800",NA,"new haven","us","sphere"
"29780",NA,"new haven","us","sphere"
"54754",NA,"new haven","us","sphere"
"75798",NA,"new haven","us","sphere"
"8872",0011-11-20,"new kensington","us","sphere"
"61145",0007-10-20,"new lenox","us","sphere"
"24240",NA,"new market","us","sphere"
"52789",0006-01-19,"new mexico",NA,"sphere"
"22659",NA,"new orleans","us","sphere"
"26141",NA,"new orleans","us","sphere"
"34107",0003-01-20,"new orleans","us","sphere"
"51367",0005-08-20,"new orleans","us","sphere"
"82218",NA,"new orleans","us","sphere"
"84990",0009-02-20,"new orleans","us","sphere"
"19070",0012-11-20,"new paris","us","sphere"
